disease_string,matched_keyword,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Sciatic Neuropathic Pain in Lumbar Disc Herniation (LDH),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Ankylosing spondylitis (AS),ankylosing spondylitis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Irritable bowel syndrome (IBS),IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Inflammatory bowel disease (IBD) (TNBS-induced),inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Diarrhoeal Irritable Bowel Syndrome (IBS-D) accompanied by negative emotions,IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Intestinal motility disorders,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Chronic Intervertebral Disc Degeneration (IVDD),intervertebral disc,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Inflammatory bowel disease (IBD) caused by high-fat diet (HFD)-induced obesity,inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Colitis (DSS-induced),colitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
constipation,constipation,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
IBS-D,IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Inflammatory bowel disease (IBD),inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Visceral pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Diarrhoea,diarrhoe,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Neuropathic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
