PMID,Journal,Year,Animal,Disease,Type,Acupoints,Mechanism,Site
41223618,J Neuroimmunol,2026,Rat,Sciatic Neuropathic Pain in Lumbar Disc Herniation (LDH),MA,"BL23, BL25, GB30, GB34, SI3, TE5",CXCL12/CXCR4-ERK/NF-κB signaling inhibition,BL25
41419104,Microb Pathog,2025,Mouse,Ankylosing spondylitis (AS),MA,"GV14, GV3, BL17, BL20, BL23, BL25",miR-21/BMP-2/Smad1 pathway modulation,BL25
41413394,Neurogastroenterol Motil,2025,Rat,Irritable bowel syndrome (IBS),EA,"ST25, BL25",PD-1/PD-L1 and NF-κB signaling inhibition,BL25
41190695,Mol Pain,2025,Mouse,Inflammatory bowel disease (IBD) (TNBS-induced),EA,BL25,vHPC-to-mPFC pathway inhibition,BL25
40837817,World J Psychiatry,2025,Mouse,Diarrhoeal Irritable Bowel Syndrome (IBS-D) accompanied by negative emotions,EA,"ST25, BL25",PVN CRF-MC CRF-R1 and MC/TRPV1 pathway inhibition,BL25
39617979,Neurogastroenterol Motil,2025,Rat,Intestinal motility disorders,MA,"ST25, ST37, LI11, BL25",Modulation of Interstitial Cells of Cajal (ICC) function,BL25
39593726,Bioengineering (Basel),2024,Rat,Chronic Intervertebral Disc Degeneration (IVDD),MA,"BL23, BL25, GB30, BL40, GB34",Improvement of local blood circulation and modulation of inflammatory responses,BL25
38299195,Diabetes Metab Syndr Obes,2024,Mouse,Inflammatory bowel disease (IBD) caused by high-fat diet (HFD)-induced obesity,EA,"BL25, ST25",Nrf2 signaling activation and ferroptosis inhibition,BL25
38038835,Chin J Integr Med,2024,Rat,Colitis (DSS-induced),EA,"ST36,  BL25, BL15",5-HT signaling pathway interference and SSC inhibition,BL25
37435647,J Neurophysiol,2023,Rat,Irritable bowel syndrome (IBS),EA,"ST25, BL25, ST37, LI11",Regulation of the central CRH nervous system,BL25
36133788,Evid Based Complement Alternat Med,2022,rat,constipation,EA,"ST25, BL25",Exosomal miR-34c-5p/SCF/c-Kit signaling pathway modulation,BL25
36105029,Am J Transl Res,2022,rat,IBS-D,MA,"ST25, BL25",P2X4 expression and spinal microglial inflammation control,BL25
35401205,Front Pharmacol,2022,mouse,Inflammatory bowel disease (IBD),EA,BL25,Cannabinoid CB2 receptors,BL25
34930362,Chin Med,2021,mouse,Inflammatory bowel disease (IBD),EA,BL25,Downregulation of P2Y12 receptor and inhibition of microglia activation/IL-1β expression in mPFC,BL25
31187350,Purinergic Signal,2019,mouse,Visceral pain,EA,BL25,"Peripheral adenosine receptor regulation (A1, A2a, A2b, A3)",BL25
27852563,Acupunct Med,2017,rat,Diarrhoea,EA,"ST25,BL25",Excitation of sympathetic nerves and regulation of 5-HT contents,BL25
27778263,Chin J Integr Med,2017,rat,Neuropathic pain,EA,"EX-B2, BL25, BL40, BL60","Decreased spinal COX-2 mRNA expression, microglia modulation",BL25
29949711,J Tradit Chin Med,2016,rat,Functional diarrhea,EA,"ST25,BL25",Jejunum c-kit protein and c-kit mRNA expression increase,BL25
26946624,J Tradit Chin Med,2016,rat,Neuropathic pain,EA,"EX-B2,BL25,BL40,BL60 ",Inhibition of local prostaglandin E2 (PGE2) secretion,BL25
26036927,Acupunct Med,2015,mouse,Hyperglycaemia,MA,"CV6,CV12,ST25,LR14,GB20,GB21,BL10,BL11,BL13,BL14,BL19,BL23,BL25",Mitigation of stress-induced hyperglycemia and enhanced hepatic innate immunity,BL25
26459908,Neurogastroenterol Motil,2015,rat,Gastrointestinal motility disorders,MA,"LI11,ST37,BL25,ST25",Activation of M3 receptors and somatic afferent C-fibers to increase colonic motility,BL25
25968478,Neurochem Res,2015,mouse,Irritable bowel syndrome (IBS),EA,"LI11,ST25,BL25,BL35,ST36,ST37","C-fos expression downregulation, brain-gut axis modulation",BL25
41440142,Brain Sci,2025,Rat,PTSD-like behaviors,EA,"GV20, GV4","AC-EA alleviates PTSD-like behaviors by restoring gut microbiota balance, enriching beneficial *Ligilactobacillus*, and downregulating hepatic TLR4 expression to suppress neuroinflammatory signaling via the gut-brain axis",GV4
41359562,J Vis Exp,2025,Rat,Cognitive Impairment after Spinal Cord Injury (SCI),EA,"GV20, GV14, GV4",Hippocampal structural restoration,GV4
41177207,Biomed J,2025,Rat,Vascular dementia (VD),EA,"GV20, GV26, GV24, GV4",PINK1/Parkin-mediated mitochondrial autophagy,GV4
40848482,Int Immunopharmacol,2025,Rat,Vascular dementia (VD),EA,"GV20, GV26, GV24, GV4",PINK1/Parkin signaling pathway inhibition,GV4
40605987,Mater Today Bio,2025,Rat,Spinal cord injury (SCI),EA,"GV4, GV14",Promotion of neurogenesis and tissue regeneration,GV4
37940560,eNeuro,2023,Rat,Spinal cord injury (SCI),EA,"GV14, GV4, GV26, GB34, GV20, GV6",Modulation of the HuR/KLF9 axis,GV4
37414270,Brain Res,2023,Rat,Cerebral ischemia-reperfusion injury (MCAO/R model),MA,"GV14, GV9, GV4, GV20, BL17, BL18, BL23",Inhibition of the NF-κB pathway,GV4
37296436,J Orthop Surg Res,2023,Mouse,Spinal cord injury (SCI)-induced motor dysfunction,MA,"GV14, GV4, ST36, BL32, EX-B2(T7-T12)",Inhibition of the NLRP3-IL-18 signaling pathway,GV4
